week,site,content_type,target_keyword,url,action
1,"K1 Login Manual","troubleshooting","k1 game login not working","/guides/k1-game-login-not-working/","Publish or improve: K1 Game Login Not Working: Fast Checks"
1,"K1 Login Manual","otp","k1 game otp not received","/guides/otp-not-received/","Publish or improve: K1 Game OTP Not Received: Causes and Fixes"
1,"K1 Login Manual","tutorial","k1 game password reset","/guides/password-reset-guide/","Publish or improve: K1 Game Password Reset Guide"
2,"K1 Login Manual","support","k1 game account locked","/guides/account-locked/","Publish or improve: K1 Game Account Locked: What to Check"
2,"K1 Login Manual","login","k1 game phone number format","/guides/phone-number-format/","Publish or improve: K1 Game Phone Number Format for Login"
2,"K1 Login Manual","comparison","k1 game app login vs web login","/guides/app-login-vs-web-login/","Publish or improve: K1 Game App Login vs Web Login"
3,"K1 Login Manual","support","k1 game session expired","/guides/expired-session/","Publish or improve: K1 Game Session Expired Message Explained"
3,"K1 Login Manual","device","k1 game login new phone","/guides/login-on-new-phone/","Publish or improve: K1 Game Login on a New Phone"
3,"K1 Login Manual","otp","k1 game otp resend","/guides/otp-resend-timing/","Publish or improve: K1 Game OTP Resend Timing and Retry Limits"
4,"K1 Login Manual","safety","k1 game safe login","/guides/safe-login-checklist/","Publish or improve: Safe Login Checklist for K1 Game Users"
4,"K1 Login Manual","support","k1 game forgot username","/guides/forgot-username/","Publish or improve: K1 Game Forgot Username or Account ID"
4,"K1 Login Manual","troubleshooting","k1 game login error","/guides/login-error-codes/","Publish or improve: K1 Game Login Error Codes and Meanings"
5,"K1 Login Manual","refresh","k1 game login","/","Review GSC impressions, rewrite title, add FAQ, update internal links"
6,"K1 Login Manual","refresh","k1 game login","/","Review GSC impressions, rewrite title, add FAQ, update internal links"
7,"K1 Login Manual","refresh","k1 game login","/","Review GSC impressions, rewrite title, add FAQ, update internal links"
8,"K1 Login Manual","refresh","k1 game login","/","Review GSC impressions, rewrite title, add FAQ, update internal links"
9,"K1 Login Manual","register","k1 game register","/guides/k1-game-register-account/","Publish or improve: K1 Game Register Account Guide for Pakistan"
"2026-06-13","published","k1 game login with phone number","/guides/login-with-phone-number/","second content expansion","new long-tail page with FAQ, internal links, GA and sitemap entry"
"2026-06-13","published","k1 game password vs otp login","/guides/password-vs-otp-login/","third content expansion","new long-tail page with K1 public evidence, FAQ, schema and internal links"
"2026-06-16","published","k1 game register with phone number","/guides/register-with-phone-number/","daily content sprint","new intent-specific page with FAQ, internal links, sitemap and feed entry"
